fasta order,tip_labels,tip_labels_alt1,tip_labels_alt2,processid,detailed_species,species,info_group,info_group_species,BIN,region_NZ,Locality,Source_type,Genus,family,order,sampleid,GMYC_spec,country,region_public,,,,new_labels,,,,,,,,new_labels_subsets
27,GBMIN140181_18|Brachionus_quadridentatus|COI_5P|KY749410,GBMIN140181-18|Brachionus-quadridentatus|COI-5P|KY749410,GBMIN140181-18_Brachionus-quadridentatus_COI-5P_KY749410,GBMIN140181-18,Brachionus-quadridentatus,Brachionus quadridentatus,aaPublic,aaPublic,BOLD:ABA7390,,NA,Public,Brachionus,Brachionidae,Ploima,KY749410,GMYC:16,Spain,NA,italic(`,`)~(`,`),italic(`Brachionus quadridentatus`)~(`BOLD:ABA7390`)~(`GMYC:16`)~(`Spain`),(`,BOLD:ABA7390,`)~(`,GMYC:16,`)~(`,Spain,`),(`BOLD:ABA7390`)~(`GMYC:16`)~(`Spain`)
28,GBMIN140182_18|Brachionus_quadridentatus|COI_5P|KY749408,GBMIN140182-18|Brachionus-quadridentatus|COI-5P|KY749408,GBMIN140182-18_Brachionus-quadridentatus_COI-5P_KY749408,GBMIN140182-18,Brachionus-quadridentatus,Brachionus quadridentatus,aaPublic,aaPublic,BOLD:ADM1830,,NA,Public,Brachionus,Brachionidae,Ploima,KY749408,GMYC:86,Spain,NA,italic(`,`)~(`,`),italic(`Brachionus quadridentatus`)~(`BOLD:ADM1830`)~(`GMYC:86`)~(`Spain`),(`,BOLD:ADM1830,`)~(`,GMYC:86,`)~(`,Spain,`),(`BOLD:ADM1830`)~(`GMYC:86`)~(`Spain`)
29,GBMIN140216_18|Keratella_cochlearis|COI_5P|KT986362,GBMIN140216-18|Keratella-cochlearis|COI-5P|KT986362,GBMIN140216-18_Keratella-cochlearis_COI-5P_KT986362,GBMIN140216-18,Keratella-cochlearis,Keratella cochlearis,aaPublic,aaPublic,BOLD:AAZ5138,,NA,Public,Keratella,Brachionidae,Ploima,KT986362,GMYC:39,NA,NA,italic(`,`)~(`,`),italic(`Keratella cochlearis`)~(`BOLD:AAZ5138`)~(`GMYC:39`)~(`NA`),(`,BOLD:AAZ5138,`)~(`,GMYC:39,`)~(`,NA,`),(`BOLD:AAZ5138`)~(`GMYC:39`)~(`NA`)
30,GBMIN140240_18|Keratella_cochlearis|COI_5P|KT986437,GBMIN140240-18|Keratella-cochlearis|COI-5P|KT986437,GBMIN140240-18_Keratella-cochlearis_COI-5P_KT986437,GBMIN140240-18,Keratella-cochlearis,Keratella cochlearis,aaPublic,aaPublic,BOLD:AAZ5138,,NA,Public,Keratella,Brachionidae,Ploima,KT986437,GMYC:43,NA,NA,italic(`,`)~(`,`),italic(`Keratella cochlearis`)~(`BOLD:AAZ5138`)~(`GMYC:43`)~(`NA`),(`,BOLD:AAZ5138,`)~(`,GMYC:43,`)~(`,NA,`),(`BOLD:AAZ5138`)~(`GMYC:43`)~(`NA`)
31,GBMIN140248_18|Keratella_cochlearis|COI_5P|KT986414,GBMIN140248-18|Keratella-cochlearis|COI-5P|KT986414,GBMIN140248-18_Keratella-cochlearis_COI-5P_KT986414,GBMIN140248-18,Keratella-cochlearis,Keratella cochlearis,aaPublic,aaPublic,BOLD:AAZ5138,,NA,Public,Keratella,Brachionidae,Ploima,KT986414,GMYC:39,NA,NA,italic(`,`)~(`,`),italic(`Keratella cochlearis`)~(`BOLD:AAZ5138`)~(`GMYC:39`)~(`NA`),(`,BOLD:AAZ5138,`)~(`,GMYC:39,`)~(`,NA,`),(`BOLD:AAZ5138`)~(`GMYC:39`)~(`NA`)
32,GBMIN140253_18|Keratella_cochlearis|COI_5P|KT986439,GBMIN140253-18|Keratella-cochlearis|COI-5P|KT986439,GBMIN140253-18_Keratella-cochlearis_COI-5P_KT986439,GBMIN140253-18,Keratella-cochlearis,Keratella cochlearis,aaPublic,aaPublic,BOLD:AAZ5138,,NA,Public,Keratella,Brachionidae,Ploima,KT986439,GMYC:43,NA,NA,italic(`,`)~(`,`),italic(`Keratella cochlearis`)~(`BOLD:AAZ5138`)~(`GMYC:43`)~(`NA`),(`,BOLD:AAZ5138,`)~(`,GMYC:43,`)~(`,NA,`),(`BOLD:AAZ5138`)~(`GMYC:43`)~(`NA`)
33,GBMIN140285_18|Keratella_cochlearis|COI_5P|KT986438,GBMIN140285-18|Keratella-cochlearis|COI-5P|KT986438,GBMIN140285-18_Keratella-cochlearis_COI-5P_KT986438,GBMIN140285-18,Keratella-cochlearis,Keratella cochlearis,aaPublic,aaPublic,BOLD:AAZ5138,,NA,Public,Keratella,Brachionidae,Ploima,KT986438,GMYC:43,NA,NA,italic(`,`)~(`,`),italic(`Keratella cochlearis`)~(`BOLD:AAZ5138`)~(`GMYC:43`)~(`NA`),(`,BOLD:AAZ5138,`)~(`,GMYC:43,`)~(`,NA,`),(`BOLD:AAZ5138`)~(`GMYC:43`)~(`NA`)
34,GBMIN140322_18|Keratella_cochlearis|COI_5P|KT986360,GBMIN140322-18|Keratella-cochlearis|COI-5P|KT986360,GBMIN140322-18_Keratella-cochlearis_COI-5P_KT986360,GBMIN140322-18,Keratella-cochlearis,Keratella cochlearis,aaPublic,aaPublic,BOLD:AAZ5138,,NA,Public,Keratella,Brachionidae,Ploima,KT986360,GMYC:39,NA,NA,italic(`,`)~(`,`),italic(`Keratella cochlearis`)~(`BOLD:AAZ5138`)~(`GMYC:39`)~(`NA`),(`,BOLD:AAZ5138,`)~(`,GMYC:39,`)~(`,NA,`),(`BOLD:AAZ5138`)~(`GMYC:39`)~(`NA`)
35,GBMIN140349_18|Keratella_sp._WM_2017a|COI_5P|LC215529,GBMIN140349-18|Keratella-sp._WM-2017a|COI-5P|LC215529,GBMIN140349-18_Keratella-sp._WM-2017a_COI-5P_LC215529,GBMIN140349-18,Keratella-sp. WM-2017a,Keratella cochlearis,aaPublic,aaPublic,BOLD:ADL9555,,NA,Public,Keratella,Brachionidae,Ploima,LC215529,GMYC:110,Japan,Lake Kasumigaura,italic(`,`)~(`,`),italic(`Keratella cochlearis`)~(`BOLD:ADL9555`)~(`GMYC:110`)~(`Japan`),(`,BOLD:ADL9555,`)~(`,GMYC:110,`)~(`,Japan,`),(`BOLD:ADL9555`)~(`GMYC:110`)~(`Japan`)
36,GBMIN140350_18|Keratella_sp._WM_2017a|COI_5P|LC215524,GBMIN140350-18|Keratella-sp._WM-2017a|COI-5P|LC215524,GBMIN140350-18_Keratella-sp._WM-2017a_COI-5P_LC215524,GBMIN140350-18,Keratella-sp. WM-2017a,Keratella cochlearis,aaPublic,aaPublic,BOLD:AAZ5138,,NA,Public,Keratella,Brachionidae,Ploima,LC215524,GMYC:42,Japan,Lake Kasumigaura,italic(`,`)~(`,`),italic(`Keratella cochlearis`)~(`BOLD:AAZ5138`)~(`GMYC:42`)~(`Japan`),(`,BOLD:AAZ5138,`)~(`,GMYC:42,`)~(`,Japan,`),(`BOLD:AAZ5138`)~(`GMYC:42`)~(`Japan`)
37,GBMIN140351_18|Keratella_sp._WM_2017a|COI_5P|LC215528,GBMIN140351-18|Keratella-sp._WM-2017a|COI-5P|LC215528,GBMIN140351-18_Keratella-sp._WM-2017a_COI-5P_LC215528,GBMIN140351-18,Keratella-sp. WM-2017a,Keratella cochlearis,aaPublic,aaPublic,BOLD:AAZ5138,,NA,Public,Keratella,Brachionidae,Ploima,LC215528,GMYC:42,Japan,Lake Kasumigaura,italic(`,`)~(`,`),italic(`Keratella cochlearis`)~(`BOLD:AAZ5138`)~(`GMYC:42`)~(`Japan`),(`,BOLD:AAZ5138,`)~(`,GMYC:42,`)~(`,Japan,`),(`BOLD:AAZ5138`)~(`GMYC:42`)~(`Japan`)
38,GBMIN140352_18|Keratella_sp._WM_2017a|COI_5P|LC215525,GBMIN140352-18|Keratella-sp._WM-2017a|COI-5P|LC215525,GBMIN140352-18_Keratella-sp._WM-2017a_COI-5P_LC215525,GBMIN140352-18,Keratella-sp. WM-2017a,Keratella cochlearis,aaPublic,aaPublic,BOLD:AAZ5138,,NA,Public,Keratella,Brachionidae,Ploima,LC215525,GMYC:42,Japan,Lake Kasumigaura,italic(`,`)~(`,`),italic(`Keratella cochlearis`)~(`BOLD:AAZ5138`)~(`GMYC:42`)~(`Japan`),(`,BOLD:AAZ5138,`)~(`,GMYC:42,`)~(`,Japan,`),(`BOLD:AAZ5138`)~(`GMYC:42`)~(`Japan`)
39,GBMIN140353_18|Keratella_sp._WM_2017a|COI_5P|LC215526,GBMIN140353-18|Keratella-sp._WM-2017a|COI-5P|LC215526,GBMIN140353-18_Keratella-sp._WM-2017a_COI-5P_LC215526,GBMIN140353-18,Keratella-sp. WM-2017a,Keratella cochlearis,aaPublic,aaPublic,BOLD:AAZ5138,,NA,Public,Keratella,Brachionidae,Ploima,LC215526,GMYC:42,Japan,Lake Kasumigaura,italic(`,`)~(`,`),italic(`Keratella cochlearis`)~(`BOLD:AAZ5138`)~(`GMYC:42`)~(`Japan`),(`,BOLD:AAZ5138,`)~(`,GMYC:42,`)~(`,Japan,`),(`BOLD:AAZ5138`)~(`GMYC:42`)~(`Japan`)
40,GBMIN140354_18|Keratella_sp._WM_2017a|COI_5P|LC215531,GBMIN140354-18|Keratella-sp._WM-2017a|COI-5P|LC215531,GBMIN140354-18_Keratella-sp._WM-2017a_COI-5P_LC215531,GBMIN140354-18,Keratella-sp. WM-2017a,Keratella cochlearis,aaPublic,aaPublic,BOLD:AAZ5138,,NA,Public,Keratella,Brachionidae,Ploima,LC215531,GMYC:42,Japan,Lake Kasumigaura,italic(`,`)~(`,`),italic(`Keratella cochlearis`)~(`BOLD:AAZ5138`)~(`GMYC:42`)~(`Japan`),(`,BOLD:AAZ5138,`)~(`,GMYC:42,`)~(`,Japan,`),(`BOLD:AAZ5138`)~(`GMYC:42`)~(`Japan`)
