fasta order,tip_labels,tip_labels_xx,processid,species,species_name_tidy,species_name_barcode_gap,Locality,Source_type,Genus,family,order,sampleid,bin_uri,genus_name,species_name,country,region,tip_labels_previous,new_names_public,new_names_NZ,new_labels
11,AGROT621_11|Trichocerca_cf._capucina|COI_5P|JX216815,AGROT621-11|Trichocerca-cf._capucina|COI-5P|JX216815,AGROT621-11,Trichocerca-cf. capucina,Trichocerca cf. capucina,Trichocerca cf. capucina,Mexico,Public,Trichocerca,Trichocercidae,Ploima,ECOCHZ-AG0623,BOLD:ABA3361,Trichocerca,Trichocerca cf. capucina,Mexico,Jilotzingo,AGROT621-11_Trichocerca-cf._capucina_COI-5P_JX216815,Trichocerca-cf. capucina (ECOCHZ-AG0623)(AGROT621-11)(Mexico),Trichocerca-cf. capucina (AGROT621-11)(Mexico),Trichocerca-cf. capucina (ECOCHZ-AG0623)(AGROT621-11)(Mexico)
12,AGROT712_11|Lecane_ludwigii_f._ohioensis|COI_5P|JX216710,AGROT712-11|Lecane-ludwigii_f._ohioensis|COI-5P|JX216710,AGROT712-11,Lecane-ludwigii f. ohioensis,Lecane ludwigii f. ohioensis,Lecane ludwigii f. ohioensis,Mexico,Public,Lecane,Lecanidae,Ploima,ECOCHZ-AG0714,BOLD:AAN3260,Lecane,Lecane ludwigii f. ohioensis,Mexico,Palizada,AGROT712-11_Lecane-ludwigii_f._ohioensis_COI-5P_JX216710,Lecane-ludwigii f. ohioensis (ECOCHZ-AG0714)(AGROT712-11)(Mexico),Lecane-ludwigii f. ohioensis (AGROT712-11)(Mexico),Lecane-ludwigii f. ohioensis (ECOCHZ-AG0714)(AGROT712-11)(Mexico)
13,AGROT751_11|Lecane_bulla1|COI_5P|JX216646,AGROT751-11|Lecane-bulla1|COI-5P|JX216646,AGROT751-11,Lecane-bulla1,Lecane bulla1,Lecane bulla,Mexico,Public,Lecane,Lecanidae,Ploima,ECOCHZ-AG0753,BOLD:AAN2894,Lecane,Lecane bulla1,Mexico,Escarcega,AGROT751-11_Lecane-bulla1_COI-5P_JX216646,Lecane-bulla1 (ECOCHZ-AG0753)(AGROT751-11)(Mexico),Lecane-bulla1 (AGROT751-11)(Mexico),Lecane-bulla1 (ECOCHZ-AG0753)(AGROT751-11)(Mexico)
14,AGROT766_11|Lepadella_cf._ovalis|COI_5P|JX216761,AGROT766-11|Lepadella-cf._ovalis|COI-5P|JX216761,AGROT766-11,Lepadella-cf. ovalis,Lepadella cf. ovalis,Lepadella cf. ovalis,Mexico,Public,Lepadella,Lepadellidae,Ploima,ECOCHZ-AG0768,BOLD:AAZ9992,Lepadella,Lepadella cf. ovalis,Mexico,Ocosingo,AGROT766-11_Lepadella-cf._ovalis_COI-5P_JX216761,Lepadella-cf. ovalis (ECOCHZ-AG0768)(AGROT766-11)(Mexico),Lepadella-cf. ovalis (AGROT766-11)(Mexico),Lepadella-cf. ovalis (ECOCHZ-AG0768)(AGROT766-11)(Mexico)
15,AGROT837_11|Trichocerca_stylata|COI_5P|JX216825,AGROT837-11|Trichocerca-stylata|COI-5P|JX216825,AGROT837-11,Trichocerca-stylata,Trichocerca stylata,Trichocerca stylata,Mexico,Public,Trichocerca,Trichocercidae,Ploima,ECOCHZ-AG0839,BOLD:ABA0504,Trichocerca,Trichocerca stylata,Mexico,Othon P. Blanco,AGROT837-11_Trichocerca-stylata_COI-5P_JX216825,Trichocerca-stylata (ECOCHZ-AG0839)(AGROT837-11)(Mexico),Trichocerca-stylata (AGROT837-11)(Mexico),Trichocerca-stylata (ECOCHZ-AG0839)(AGROT837-11)(Mexico)
16,AGROT844_11|Lecane_bulla5|COI_5P|JX216662,AGROT844-11|Lecane-bulla5|COI-5P|JX216662,AGROT844-11,Lecane-bulla5,Lecane bulla5,Lecane bulla,Mexico,Public,Lecane,Lecanidae,Ploima,ECOCHZ-AG0846,BOLD:AAX0098,Lecane,Lecane bulla5,Mexico,Othon P. Blanco,AGROT844-11_Lecane-bulla5_COI-5P_JX216662,Lecane-bulla5 (ECOCHZ-AG0846)(AGROT844-11)(Mexico),Lecane-bulla5 (AGROT844-11)(Mexico),Lecane-bulla5 (ECOCHZ-AG0846)(AGROT844-11)(Mexico)
17,AGROT845_11|Lecane_lunaris_AEG1|COI_5P|JX216731,AGROT845-11|Lecane-lunaris_AEG1|COI-5P|JX216731,AGROT845-11,Lecane-lunaris AEG1,Lecane lunaris,Lecane lunaris,Mexico,Public,Lecane,Lecanidae,Ploima,ECOCHZ-AG0847,BOLD:ABA0362,Lecane,Lecane lunaris AEG1,Mexico,Othon P. Blanco,AGROT845-11_Lecane-lunaris_AEG1_COI-5P_JX216731,Lecane-lunaris AEG1 (ECOCHZ-AG0847)(AGROT845-11)(Mexico),Lecane-lunaris AEG1 (AGROT845-11)(Mexico),Lecane-lunaris AEG1 (ECOCHZ-AG0847)(AGROT845-11)(Mexico)
18,Collotheca_campanulata_DQ297766,Collotheca_campanulata_DQ297766,DQ297766,Collotheca campanulata,Collotheca campanulata,Collotheca campanulata,North America (Canada or US),Public,Collotheca,Collothecidae,Collothecaceae,NA,NA,NA,NA,NA,NA,Collotheca_campanulata_DQ297766,Collotheca campanulata (NA)(DQ297766)(NA),Collotheca campanulata (DQ297766)(North America (Canada or US)),Collotheca campanulata (NA)(DQ297766)(NA)
19,CTM001_10|Platyias_quadricornis1|COI_5P|HQ944301,CTM001-10|Platyias-quadricornis1|COI-5P|HQ944301,CTM001-10,Platyias-quadricornis1,Platyias quadricornis1,Platyias quadricornis,NA,Public,Platyias,Brachionidae,Ploima,CTM0001,BOLD:AAN2886,Platyias,Platyias quadricornis1,Mexico,Othon P. Blanco,CTM001-10_Platyias-quadricornis1_COI-5P_HQ944301,Platyias-quadricornis1 (CTM0001)(CTM001-10)(Mexico),Platyias-quadricornis1 (CTM001-10)(),Platyias-quadricornis1 (CTM0001)(CTM001-10)(Mexico)
20,CTM061_10|Lecane_bulla_AEG9|COI_5P|HQ944348,CTM061-10|Lecane-bulla_AEG9|COI-5P|HQ944348,CTM061-10,Lecane-bulla AEG9,Lecane bulla,Lecane bulla,NA,Public,Lecane,Lecanidae,Ploima,CTM0061,BOLD:ABA0369,Lecane,Lecane bulla AEG9,Mexico,Catemaco,CTM061-10_Lecane-bulla_AEG9_COI-5P_HQ944348,Lecane-bulla AEG9 (CTM0061)(CTM061-10)(Mexico),Lecane-bulla AEG9 (CTM061-10)(),Lecane-bulla AEG9 (CTM0061)(CTM061-10)(Mexico)
21,CTM062_10|Lecane_bulla|COI_5P|HQ944349,CTM062-10|Lecane-bulla|COI-5P|HQ944349,CTM062-10,Lecane-bulla,Lecane bulla,Lecane bulla,NA,Public,Lecane,Lecanidae,Ploima,CTM0062,BOLD:AAN2895,Lecane,Lecane bulla,Mexico,Catemaco,CTM062-10_Lecane-bulla_COI-5P_HQ944349,Lecane-bulla (CTM0062)(CTM062-10)(Mexico),Lecane-bulla (CTM062-10)(),Lecane-bulla (CTM0062)(CTM062-10)(Mexico)
22,GBMAA513_14|Polyarthra_dolichoptera|COI_5P|KJ460388,GBMAA513-14|Polyarthra-dolichoptera|COI-5P|KJ460388,GBMAA513-14,Polyarthra-dolichoptera,Polyarthra dolichoptera,Polyarthra dolichoptera,NA,Public,Polyarthra,Synchaetidae,Ploima,KJ460388,BOLD:ACH7773,Polyarthra,Polyarthra dolichoptera,Italy,NA,GBMAA513-14_Polyarthra-dolichoptera_COI-5P_KJ460388,Polyarthra-dolichoptera (KJ460388)(GBMAA513-14)(Italy),Polyarthra-dolichoptera (GBMAA513-14)(),Polyarthra-dolichoptera (KJ460388)(GBMAA513-14)(Italy)
23,GBMAA1950_15|Brachionus_calyciflorus|COI_5P|KC495144,GBMAA1950-15|Brachionus-calyciflorus|COI-5P|KC495144,GBMAA1950-15,Brachionus-calyciflorus,Brachionus calyciflorus,Brachionus calyciflorus,NA,Public,Brachionus,Brachionidae,Ploima,KC495144,BOLD:AAM1191,Brachionus,Brachionus calyciflorus,China,NA,GBMAA1950-15_Brachionus-calyciflorus_COI-5P_KC495144,Brachionus-calyciflorus (KC495144)(GBMAA1950-15)(China),Brachionus-calyciflorus (GBMAA1950-15)(),Brachionus-calyciflorus (KC495144)(GBMAA1950-15)(China)
24,GBMAA1973_15|Brachionus_angularis|COI_5P|KM051944,GBMAA1973-15|Brachionus-angularis|COI-5P|KM051944,GBMAA1973-15,Brachionus-angularis,Brachionus angularis,Brachionus angularis,NA,Public,Brachionus,Brachionidae,Ploima,KM051944,BOLD:ACS3733,Brachionus,Brachionus angularis,Greece,Lake Koronia,GBMAA1973-15_Brachionus-angularis_COI-5P_KM051944,Brachionus-angularis (KM051944)(GBMAA1973-15)(Greece),Brachionus-angularis (GBMAA1973-15)(),Brachionus-angularis (KM051944)(GBMAA1973-15)(Greece)
25,GBMIN139567_18|Asplanchna_sp._WM_2017b|COI_5P|LC215491,GBMIN139567-18|Asplanchna-sp._WM-2017b|COI-5P|LC215491,GBMIN139567-18,Asplanchna-sp. WM-2017b,Asplanchna sp.,Asplanchna priodonta,NA,Public,Asplanchna,Asplanchnidae,Ploima,LC215491,BOLD:AAZ3168,Asplanchna,Asplanchna sp. WM-2017b,Japan,Lake Kasumigaura,GBMIN139567-18_Asplanchna-sp._WM-2017b_COI-5P_LC215491,Asplanchna-sp. WM-2017b (LC215491)(GBMIN139567-18)(Japan),Asplanchna-sp. WM-2017b (GBMIN139567-18)(),Asplanchna-sp. WM-2017b (LC215491)(GBMIN139567-18)(Japan)
26,GBMIN139609_18|Brachionus_calyciflorus|COI_5P|KX495817,GBMIN139609-18|Brachionus-calyciflorus|COI-5P|KX495817,GBMIN139609-18,Brachionus-calyciflorus,Brachionus calyciflorus,Brachionus calyciflorus,NA,Public,Brachionus,Brachionidae,Ploima,KX495817,BOLD:AAM1196,Brachionus,Brachionus calyciflorus,China,NA,GBMIN139609-18_Brachionus-calyciflorus_COI-5P_KX495817,Brachionus-calyciflorus (KX495817)(GBMIN139609-18)(China),Brachionus-calyciflorus (GBMIN139609-18)(),Brachionus-calyciflorus (KX495817)(GBMIN139609-18)(China)
27,GBMIN140181_18|Brachionus_quadridentatus|COI_5P|KY749410,GBMIN140181-18|Brachionus-quadridentatus|COI-5P|KY749410,GBMIN140181-18,Brachionus-quadridentatus,Brachionus quadridentatus,Brachionus quadridentatus,NA,Public,Brachionus,Brachionidae,Ploima,KY749410,BOLD:ABA7390,Brachionus,Brachionus quadridentatus,Spain,NA,GBMIN140181-18_Brachionus-quadridentatus_COI-5P_KY749410,Brachionus-quadridentatus (KY749410)(GBMIN140181-18)(Spain),Brachionus-quadridentatus (GBMIN140181-18)(),Brachionus-quadridentatus (KY749410)(GBMIN140181-18)(Spain)
28,GBMIN140182_18|Brachionus_quadridentatus|COI_5P|KY749408,GBMIN140182-18|Brachionus-quadridentatus|COI-5P|KY749408,GBMIN140182-18,Brachionus-quadridentatus,Brachionus quadridentatus,Brachionus quadridentatus,NA,Public,Brachionus,Brachionidae,Ploima,KY749408,BOLD:ADM1830,Brachionus,Brachionus quadridentatus,Spain,NA,GBMIN140182-18_Brachionus-quadridentatus_COI-5P_KY749408,Brachionus-quadridentatus (KY749408)(GBMIN140182-18)(Spain),Brachionus-quadridentatus (GBMIN140182-18)(),Brachionus-quadridentatus (KY749408)(GBMIN140182-18)(Spain)
29,GBMIN140216_18|Keratella_cochlearis|COI_5P|KT986362,GBMIN140216-18|Keratella-cochlearis|COI-5P|KT986362,GBMIN140216-18,Keratella-cochlearis,Keratella cochlearis,Keratella cochlearis,NA,Public,Keratella,Brachionidae,Ploima,KT986362,BOLD:AAZ5138,Keratella,Keratella cochlearis,NA,NA,GBMIN140216-18_Keratella-cochlearis_COI-5P_KT986362,Keratella-cochlearis (KT986362)(GBMIN140216-18)(),Keratella-cochlearis (GBMIN140216-18)(),Keratella-cochlearis (KT986362)(GBMIN140216-18)()
30,GBMIN140240_18|Keratella_cochlearis|COI_5P|KT986437,GBMIN140240-18|Keratella-cochlearis|COI-5P|KT986437,GBMIN140240-18,Keratella-cochlearis,Keratella cochlearis,Keratella cochlearis,NA,Public,Keratella,Brachionidae,Ploima,KT986437,BOLD:AAZ5138,Keratella,Keratella cochlearis,NA,NA,GBMIN140240-18_Keratella-cochlearis_COI-5P_KT986437,Keratella-cochlearis (KT986437)(GBMIN140240-18)(),Keratella-cochlearis (GBMIN140240-18)(),Keratella-cochlearis (KT986437)(GBMIN140240-18)()
31,GBMIN140248_18|Keratella_cochlearis|COI_5P|KT986414,GBMIN140248-18|Keratella-cochlearis|COI-5P|KT986414,GBMIN140248-18,Keratella-cochlearis,Keratella cochlearis,Keratella cochlearis,NA,Public,Keratella,Brachionidae,Ploima,KT986414,BOLD:AAZ5138,Keratella,Keratella cochlearis,NA,NA,GBMIN140248-18_Keratella-cochlearis_COI-5P_KT986414,Keratella-cochlearis (KT986414)(GBMIN140248-18)(),Keratella-cochlearis (GBMIN140248-18)(),Keratella-cochlearis (KT986414)(GBMIN140248-18)()
32,GBMIN140253_18|Keratella_cochlearis|COI_5P|KT986439,GBMIN140253-18|Keratella-cochlearis|COI-5P|KT986439,GBMIN140253-18,Keratella-cochlearis,Keratella cochlearis,Keratella cochlearis,NA,Public,Keratella,Brachionidae,Ploima,KT986439,BOLD:AAZ5138,Keratella,Keratella cochlearis,NA,NA,GBMIN140253-18_Keratella-cochlearis_COI-5P_KT986439,Keratella-cochlearis (KT986439)(GBMIN140253-18)(),Keratella-cochlearis (GBMIN140253-18)(),Keratella-cochlearis (KT986439)(GBMIN140253-18)()
33,GBMIN140285_18|Keratella_cochlearis|COI_5P|KT986438,GBMIN140285-18|Keratella-cochlearis|COI-5P|KT986438,GBMIN140285-18,Keratella-cochlearis,Keratella cochlearis,Keratella cochlearis,NA,Public,Keratella,Brachionidae,Ploima,KT986438,BOLD:AAZ5138,Keratella,Keratella cochlearis,NA,NA,GBMIN140285-18_Keratella-cochlearis_COI-5P_KT986438,Keratella-cochlearis (KT986438)(GBMIN140285-18)(),Keratella-cochlearis (GBMIN140285-18)(),Keratella-cochlearis (KT986438)(GBMIN140285-18)()
34,GBMIN140322_18|Keratella_cochlearis|COI_5P|KT986360,GBMIN140322-18|Keratella-cochlearis|COI-5P|KT986360,GBMIN140322-18,Keratella-cochlearis,Keratella cochlearis,Keratella cochlearis,NA,Public,Keratella,Brachionidae,Ploima,KT986360,BOLD:AAZ5138,Keratella,Keratella cochlearis,NA,NA,GBMIN140322-18_Keratella-cochlearis_COI-5P_KT986360,Keratella-cochlearis (KT986360)(GBMIN140322-18)(),Keratella-cochlearis (GBMIN140322-18)(),Keratella-cochlearis (KT986360)(GBMIN140322-18)()
35,GBMIN140349_18|Keratella_sp._WM_2017a|COI_5P|LC215529,GBMIN140349-18|Keratella-sp._WM-2017a|COI-5P|LC215529,GBMIN140349-18,Keratella-sp. WM-2017a,Keratella sp.,Keratella cochlearis,NA,Public,Keratella,Brachionidae,Ploima,LC215529,BOLD:ADL9555,Keratella,Keratella sp. WM-2017a,Japan,Lake Kasumigaura,GBMIN140349-18_Keratella-sp._WM-2017a_COI-5P_LC215529,Keratella-sp. WM-2017a (LC215529)(GBMIN140349-18)(Japan),Keratella-sp. WM-2017a (GBMIN140349-18)(),Keratella-sp. WM-2017a (LC215529)(GBMIN140349-18)(Japan)
36,GBMIN140350_18|Keratella_sp._WM_2017a|COI_5P|LC215524,GBMIN140350-18|Keratella-sp._WM-2017a|COI-5P|LC215524,GBMIN140350-18,Keratella-sp. WM-2017a,Keratella sp.,Keratella cochlearis,NA,Public,Keratella,Brachionidae,Ploima,LC215524,BOLD:AAZ5138,Keratella,Keratella sp. WM-2017a,Japan,Lake Kasumigaura,GBMIN140350-18_Keratella-sp._WM-2017a_COI-5P_LC215524,Keratella-sp. WM-2017a (LC215524)(GBMIN140350-18)(Japan),Keratella-sp. WM-2017a (GBMIN140350-18)(),Keratella-sp. WM-2017a (LC215524)(GBMIN140350-18)(Japan)
37,GBMIN140351_18|Keratella_sp._WM_2017a|COI_5P|LC215528,GBMIN140351-18|Keratella-sp._WM-2017a|COI-5P|LC215528,GBMIN140351-18,Keratella-sp. WM-2017a,Keratella sp.,Keratella cochlearis,NA,Public,Keratella,Brachionidae,Ploima,LC215528,BOLD:AAZ5138,Keratella,Keratella sp. WM-2017a,Japan,Lake Kasumigaura,GBMIN140351-18_Keratella-sp._WM-2017a_COI-5P_LC215528,Keratella-sp. WM-2017a (LC215528)(GBMIN140351-18)(Japan),Keratella-sp. WM-2017a (GBMIN140351-18)(),Keratella-sp. WM-2017a (LC215528)(GBMIN140351-18)(Japan)
38,GBMIN140352_18|Keratella_sp._WM_2017a|COI_5P|LC215525,GBMIN140352-18|Keratella-sp._WM-2017a|COI-5P|LC215525,GBMIN140352-18,Keratella-sp. WM-2017a,Keratella sp.,Keratella cochlearis,NA,Public,Keratella,Brachionidae,Ploima,LC215525,BOLD:AAZ5138,Keratella,Keratella sp. WM-2017a,Japan,Lake Kasumigaura,GBMIN140352-18_Keratella-sp._WM-2017a_COI-5P_LC215525,Keratella-sp. WM-2017a (LC215525)(GBMIN140352-18)(Japan),Keratella-sp. WM-2017a (GBMIN140352-18)(),Keratella-sp. WM-2017a (LC215525)(GBMIN140352-18)(Japan)
39,GBMIN140353_18|Keratella_sp._WM_2017a|COI_5P|LC215526,GBMIN140353-18|Keratella-sp._WM-2017a|COI-5P|LC215526,GBMIN140353-18,Keratella-sp. WM-2017a,Keratella sp.,Keratella cochlearis,NA,Public,Keratella,Brachionidae,Ploima,LC215526,BOLD:AAZ5138,Keratella,Keratella sp. WM-2017a,Japan,Lake Kasumigaura,GBMIN140353-18_Keratella-sp._WM-2017a_COI-5P_LC215526,Keratella-sp. WM-2017a (LC215526)(GBMIN140353-18)(Japan),Keratella-sp. WM-2017a (GBMIN140353-18)(),Keratella-sp. WM-2017a (LC215526)(GBMIN140353-18)(Japan)
40,GBMIN140354_18|Keratella_sp._WM_2017a|COI_5P|LC215531,GBMIN140354-18|Keratella-sp._WM-2017a|COI-5P|LC215531,GBMIN140354-18,Keratella-sp. WM-2017a,Keratella sp.,Keratella cochlearis,NA,Public,Keratella,Brachionidae,Ploima,LC215531,BOLD:AAZ5138,Keratella,Keratella sp. WM-2017a,Japan,Lake Kasumigaura,GBMIN140354-18_Keratella-sp._WM-2017a_COI-5P_LC215531,Keratella-sp. WM-2017a (LC215531)(GBMIN140354-18)(Japan),Keratella-sp. WM-2017a (GBMIN140354-18)(),Keratella-sp. WM-2017a (LC215531)(GBMIN140354-18)(Japan)
41,GBMIN140357_18|Keratella_sp._WM_2017d|COI_5P|LC215546,GBMIN140357-18|Keratella-sp._WM-2017d|COI-5P|LC215546,GBMIN140357-18,Keratella-sp. WM-2017d,Keratella sp.,Keratella tropica,NA,Public,Keratella,Brachionidae,Ploima,LC215546,BOLD:AAU3067,Keratella,Keratella sp. WM-2017d,Japan,Lake Kasumigaura,GBMIN140357-18_Keratella-sp._WM-2017d_COI-5P_LC215546,Keratella-sp. WM-2017d (LC215546)(GBMIN140357-18)(Japan),Keratella-sp. WM-2017d (GBMIN140357-18)(),Keratella-sp. WM-2017d (LC215546)(GBMIN140357-18)(Japan)
42,GBMIN140358_18|Keratella_sp._WM_2017d|COI_5P|LC215545,GBMIN140358-18|Keratella-sp._WM-2017d|COI-5P|LC215545,GBMIN140358-18,Keratella-sp. WM-2017d,Keratella sp.,Keratella tropica,NA,Public,Keratella,Brachionidae,Ploima,LC215545,BOLD:AAU3067,Keratella,Keratella sp. WM-2017d,Japan,Lake Kasumigaura,GBMIN140358-18_Keratella-sp._WM-2017d_COI-5P_LC215545,Keratella-sp. WM-2017d (LC215545)(GBMIN140358-18)(Japan),Keratella-sp. WM-2017d (GBMIN140358-18)(),Keratella-sp. WM-2017d (LC215545)(GBMIN140358-18)(Japan)
43,GBMIN140359_18|Keratella_sp._WM_2017d|COI_5P|LC215542,GBMIN140359-18|Keratella-sp._WM-2017d|COI-5P|LC215542,GBMIN140359-18,Keratella-sp. WM-2017d,Keratella sp.,Keratella tropica,NA,Public,Keratella,Brachionidae,Ploima,LC215542,BOLD:AAU3067,Keratella,Keratella sp. WM-2017d,Japan,Lake Kasumigaura,GBMIN140359-18_Keratella-sp._WM-2017d_COI-5P_LC215542,Keratella-sp. WM-2017d (LC215542)(GBMIN140359-18)(Japan),Keratella-sp. WM-2017d (GBMIN140359-18)(),Keratella-sp. WM-2017d (LC215542)(GBMIN140359-18)(Japan)
44,GBMIN140360_18|Keratella_sp._WM_2017d|COI_5P|LC215544,GBMIN140360-18|Keratella-sp._WM-2017d|COI-5P|LC215544,GBMIN140360-18,Keratella-sp. WM-2017d,Keratella sp.,Keratella tropica,NA,Public,Keratella,Brachionidae,Ploima,LC215544,BOLD:AAU3067,Keratella,Keratella sp. WM-2017d,Japan,Lake Kasumigaura,GBMIN140360-18_Keratella-sp._WM-2017d_COI-5P_LC215544,Keratella-sp. WM-2017d (LC215544)(GBMIN140360-18)(Japan),Keratella-sp. WM-2017d (GBMIN140360-18)(),Keratella-sp. WM-2017d (LC215544)(GBMIN140360-18)(Japan)
45,GBMIN140362_18|Keratella_sp._WM_2017e|COI_5P|LC215548,GBMIN140362-18|Keratella-sp._WM-2017e|COI-5P|LC215548,GBMIN140362-18,Keratella-sp. WM-2017e,Keratella sp.,Keratella tropica,NA,Public,Keratella,Brachionidae,Ploima,LC215548,BOLD:ADM1238,Keratella,Keratella sp. WM-2017e,Japan,Lake Kasumigaura,GBMIN140362-18_Keratella-sp._WM-2017e_COI-5P_LC215548,Keratella-sp. WM-2017e (LC215548)(GBMIN140362-18)(Japan),Keratella-sp. WM-2017e (GBMIN140362-18)(),Keratella-sp. WM-2017e (LC215548)(GBMIN140362-18)(Japan)
46,GBMIN140378_18|Polyarthra_sp._WM_2017d|COI_5P|LC215569,GBMIN140378-18|Polyarthra-sp._WM-2017d|COI-5P|LC215569,GBMIN140378-18,Polyarthra-sp. WM-2017d,Polyarthra sp.,Polyarthra dolichoptera,NA,Public,Polyarthra,Synchaetidae,Ploima,LC215569,BOLD:ADM0437,Polyarthra,Polyarthra sp. WM-2017d,Japan,Lake Kasumigaura,GBMIN140378-18_Polyarthra-sp._WM-2017d_COI-5P_LC215569,Polyarthra-sp. WM-2017d (LC215569)(GBMIN140378-18)(Japan),Polyarthra-sp. WM-2017d (GBMIN140378-18)(),Polyarthra-sp. WM-2017d (LC215569)(GBMIN140378-18)(Japan)
47,GBMIN140378_18|Polyarthra_sp._WM_2017d|COI_5P|LC215569_sp._WM_2017d|COI_5P|LC215569,GBMIN140378-18|Polyarthra-sp._WM-2017d|COI-5P|LC215569_sp._WM-2017d|COI-5P|LC215569,GBMIN140378-18,Polyarthra-sp. WM-2017d,Polyarthra sp.,Polyarthra dolichoptera,NA,Public,Polyarthra,Synchaetidae,Ploima,LC215569,BOLD:ADM0437,Polyarthra,Polyarthra sp. WM-2017d,Japan,Lake Kasumigaura,GBMIN140378-18_Polyarthra-sp._WM-2017d_COI-5P_LC215569,Polyarthra-sp. WM-2017d (LC215569)(GBMIN140378-18)(Japan),Polyarthra-sp. WM-2017d (GBMIN140378-18)(),Polyarthra-sp. WM-2017d (LC215569)(GBMIN140378-18)(Japan)
48,GBMIN140495_18|Synchaeta_pectinata|COI_5P|KP875653,GBMIN140495-18|Synchaeta-pectinata|COI-5P|KP875653,GBMIN140495-18,Synchaeta-pectinata,Synchaeta pectinata,Synchaeta pectinata,NA,Public,Synchaeta,Synchaetidae,Ploima,KP875653,BOLD:ADM0150,Synchaeta,Synchaeta pectinata,NA,NA,GBMIN140495-18_Synchaeta-pectinata_COI-5P_KP875653,Synchaeta-pectinata (KP875653)(GBMIN140495-18)(),Synchaeta-pectinata (GBMIN140495-18)(),Synchaeta-pectinata (KP875653)(GBMIN140495-18)()
49,GBMIN140524_18|Trichocerca_sp._WM_2017b|COI_5P|LC215605,GBMIN140524-18|Trichocerca-sp._WM-2017b|COI-5P|LC215605,GBMIN140524-18,Trichocerca-sp. WM-2017b,Trichocerca sp.,Trichocerca sp.,NA,Public,Trichocerca,Trichocercidae,Ploima,LC215605,BOLD:ADL9176,Trichocerca,Trichocerca sp. WM-2017b,Japan,Lake Kasumigaura,GBMIN140524-18_Trichocerca-sp._WM-2017b_COI-5P_LC215605,Trichocerca-sp. WM-2017b (LC215605)(GBMIN140524-18)(Japan),Trichocerca-sp. WM-2017b (GBMIN140524-18)(),Trichocerca-sp. WM-2017b (LC215605)(GBMIN140524-18)(Japan)
50,GBSP7568_13|Lecane_bulla|COI_5P|HQ444174,GBSP7568-13|Lecane-bulla|COI-5P|HQ444174,GBSP7568-13,Lecane-bulla,Lecane bulla,Lecane bulla,Sardinia,Public,Lecane,Lecanidae,Ploima,HQ444174,BOLD:ACH5538,Lecane,Lecane bulla,Italy,Sardinia,GBSP7568-13_Lecane-bulla_COI-5P_HQ444174,Lecane-bulla (HQ444174)(GBSP7568-13)(Italy),Lecane-bulla (GBSP7568-13)(Sardinia),Lecane-bulla (HQ444174)(GBSP7568-13)(Italy)
51,GBSP9994_13|Polyarthra_dolichoptera|COI_5P|KC618896,GBSP9994-13|Polyarthra-dolichoptera|COI-5P|KC618896,GBSP9994-13,Polyarthra-dolichoptera,Polyarthra dolichoptera,Polyarthra dolichoptera,NA,Public,Polyarthra,Synchaetidae,Ploima,KC618896,BOLD:ACI1948,Polyarthra,Polyarthra dolichoptera,NA,NA,GBSP9994-13_Polyarthra-dolichoptera_COI-5P_KC618896,Polyarthra-dolichoptera (KC618896)(GBSP9994-13)(),Polyarthra-dolichoptera (GBSP9994-13)(),Polyarthra-dolichoptera (KC618896)(GBSP9994-13)()
52,GBSP10066_13|Keratella_cochlearis|COI_5P|KC618824,GBSP10066-13|Keratella-cochlearis|COI-5P|KC618824,GBSP10066-13,Keratella-cochlearis,Keratella cochlearis,Keratella cochlearis,NA,Public,Keratella,Brachionidae,Ploima,KC618824,BOLD:AAZ5138,Keratella,Keratella cochlearis,NA,NA,GBSP10066-13_Keratella-cochlearis_COI-5P_KC618824,Keratella-cochlearis (KC618824)(GBSP10066-13)(),Keratella-cochlearis (GBSP10066-13)(),Keratella-cochlearis (KC618824)(GBSP10066-13)()
53,GBSP10086_13|Ascomorpha_ovalis|COI_5P|KC618804,GBSP10086-13|Ascomorpha-ovalis|COI-5P|KC618804,GBSP10086-13,Ascomorpha-ovalis,Ascomorpha ovalis,Ascomorpha ovalis,NA,Public,Ascomorpha,Gastropodidae,Ploima,KC618804,BOLD:ACH8743,Ascomorpha,Ascomorpha ovalis,NA,NA,GBSP10086-13_Ascomorpha-ovalis_COI-5P_KC618804,Ascomorpha-ovalis (KC618804)(GBSP10086-13)(),Ascomorpha-ovalis (GBSP10086-13)(),Ascomorpha-ovalis (KC618804)(GBSP10086-13)()
54,GBSP10093_13|Ascomorpha_ovalis|COI_5P|KC618797,GBSP10093-13|Ascomorpha-ovalis|COI-5P|KC618797,GBSP10093-13,Ascomorpha-ovalis,Ascomorpha ovalis,Ascomorpha ovalis,NA,Public,Ascomorpha,Gastropodidae,Ploima,KC618797,BOLD:ACH4461,Ascomorpha,Ascomorpha ovalis,NA,NA,GBSP10093-13_Ascomorpha-ovalis_COI-5P_KC618797,Ascomorpha-ovalis (KC618797)(GBSP10093-13)(),Ascomorpha-ovalis (GBSP10093-13)(),Ascomorpha-ovalis (KC618797)(GBSP10093-13)()
